"id","name","slug","abbrev","level","parent"
669,Swansea,swansea,,l,1
670,Templeton,templeton,,l,1
671,Tisbury,tisbury,,l,1
672,Tolland,tolland,,l,1
673,Topsfield,topsfield,,l,1
674,Townsend,townsend,,l,1
675,Truro,truro,,l,1
676,Tyngsborough,tyngsborough,,l,1
677,Tyringham,tyringham,,l,1
678,Upton,upton,,l,1
679,Uxbridge,uxbridge,,l,1
680,Wales,wales,,l,1
681,Waltham,waltham,,l,1
682,Ware,ware,,l,1
683,Wareham,wareham,,l,1
684,Warren,warren,,l,1
685,Warwick,warwick,,l,1
686,Wayland,wayland,,l,1
687,Webster,webster,,l,1
688,Wellfleet,wellfleet,,l,1
689,Wendell,wendell,,l,1
690,West Boylston,west-boylston,,l,1
691,West Bridgewater,west-bridgewater,,l,1
692,West Brookfield,west-brookfield,,l,1
693,West Newbury,west-newbury,,l,1
694,West Stockbridge,west-stockbridge,,l,1
695,West Tisbury,west-tisbury,,l,1
696,Westborough,westborough,,l,1
697,Westfield,westfield,,l,1
698,Westford,westford,,l,1
699,Westhampton,westhampton,,l,1
700,Westminster,westminster,,l,1
701,Weston,weston,,l,1
702,Westport,westport,,l,1
703,Westwood,westwood,,l,1
704,Weymouth,weymouth,,l,1
705,Whately,whately,,l,1
706,Whitman,whitman,,l,1
707,Wilbraham,wilbraham,,l,1
708,Williamsburg,williamsburg,,l,1
709,Williamstown,williamstown,,l,1
710,Wilmington,wilmington,,l,1
711,Winchendon,winchendon,,l,1
712,Winchester,winchester,,l,1
713,Windsor,windsor,,l,1
714,Winthrop,winthrop,,l,1
715,Woburn,woburn,,l,1
716,Worthington,worthington,,l,1
717,Wrentham,wrentham,,l,1
718,Yarmouth,yarmouth,,l,1
719,Anne Arundel County,anne-arundel,,l,154
720,Albany,albany,,l,16
721,Madison,madison,,l,146
722,"Jordan, MN",jordan-mn,,l,156
723,Hurricane,hurricane,,l,234
724,Waterbury,waterbury,,l,53
725,Washington County,washington-county,,l,234
726,Newport News,newport-news,,l,128
727,Bartlett,bartlett,,l,155
728,Thurston County,thurston-county,,l,54
729,Berkshire County,berkshire-county,,l,1
730,Hampden County,hampden-county,,l,1
731,Chesapeake,chesapeake,,l,128
732,Santa Clara County,santa-clara-county,,l,52
733,Sunnyvale,sunnyvale,,l,52
736,Albertville,albertville,,l,159
737,Guntersville,guntersville,,l,159
738,Hoover,hoover,,l,159
739,Madison,madison,,l,159
740,Leeds,leeds,,l,159
741,Boaz,boaz,,l,159
742,Trussville,trussville,,l,159
743,Birmingham,birmingham,,l,159
744,Alexander City,alexander-city,,l,159
745,Andalusia,andalusia,,l,159
746,Arab,arab,,l,159
747,Athens,athens,,l,159
748,Attalla,attalla,,l,159
749,Saraland,saraland,,l,159
750,Chickasaw,chickasaw,,l,159
751,Auburn,auburn,,l,159
752,Prattville,prattville,,l,159
753,Bay Minette,bay-minette,,l,159
754,Clayton,clayton,,l,159
755,Bessemer,bessemer,,l,159
756,Centreville,centreville,,l,159
757,Oneonta,oneonta,,l,159
758,Brewton,brewton,,l,159
759,Union Springs,union-springs,,l,159
760,Greenville,greenville,,l,159
761,Lafayette,lafayette,,l,159
762,Centre,centre,,l,159
763,Clanton,clanton,,l,159
764,Butler,butler,,l,159
765,Grove Hill,grove-hill,,l,159
766,Ashland,ashland,,l,159
767,Heflin,heflin,,l,159
768,Elba,elba,,l,159
769,Tuscumbia,tuscumbia,,l,159
770,Evergreen,evergreen,,l,159
771,Rockford,rockford,,l,159
772,Luverne,luverne,,l,159
773,Cullman,cullman,,l,159
774,Ozark,ozark,,l,159
775,Daleville,daleville,,l,159
776,Selma,selma,,l,159
777,Rainsville,rainsville,,l,159
778,Decatur,decatur,,l,159
779,Demopolis,demopolis,,l,159
780,Dothan,dothan,,l,159
781,Wetumpka,wetumpka,,l,159
782,Enterprise,enterprise,,l,159
783,Eufaula,eufaula,,l,159
784,Fairfield,fairfield,,l,159
785,Fayette,fayette,,l,159
786,Florence,florence,,l,159
787,Fort Payne,fort-payne,,l,159
788,Russellville,russellville,,l,159
789,Geneva,geneva,,l,159
790,Eutaw,eutaw,,l,159
791,Greensboro,greensboro,,l,159
792,Haleyville,haleyville,,l,159
793,Hartselle,hartselle,,l,159
794,Abbeville,abbeville,,l,159
795,Homewood,homewood,,l,159
796,Huntsville,huntsville,,l,159
797,Scottsboro,scottsboro,,l,159
798,Jacksonville,jacksonville,,l,159
799,Jasper,jasper,,l,159
800,Vernon,vernon,,l,159
801,Lanett,lanett,,l,159
802,Moulton,moulton,,l,159
